읍면동,민원건수,취약건수,평균CCTV거리,취약비율(%),20대_비율(%),원룸촌여부
알수없음,82,14,93.5,17.1,11.16,1.0
정촌면,9,6,161.1,66.7,7.94,0.0
가좌동,28,5,66.9,17.9,,
금산면,5,5,467.1,100.0,9.5,0.0
평거동,12,5,84.1,41.7,12.52,1.0
문산읍,6,5,365.0,83.3,7.07,0.0
사봉면,3,3,466.3,100.0,2.69,0.0
충무공동,6,2,87.6,33.3,7.81,0.0
호탄동,7,2,84.1,28.6,,
상평동,6,2,66.8,33.3,10.57,1.0
하대동,2,2,133.5,100.0,12.0,1.0
금곡면,1,1,208.7,100.0,4.52,0.0
집현면,2,1,254.0,50.0,7.05,0.0
상봉동,1,1,114.9,100.0,10.35,1.0
진주시정촌면예하리,1,1,198.0,100.0,,
이현동,3,1,106.9,33.3,9.71,0.0
상대동,11,1,47.1,9.1,11.96,1.0
대곡면,1,1,136.9,100.0,4.06,0.0
본성동,1,1,140.3,100.0,,
도동,2,1,105.6,50.0,,
지수면,1,1,169.7,100.0,4.97,0.0
초전동,2,1,129.0,50.0,,
판문동,1,1,846.4,100.0,9.73,0.0
진주시초전동,1,1,116.3,100.0,,
주약동,3,1,97.3,33.3,,
내동면,6,0,36.1,0.0,9.46,0.0
동성동,1,0,55.1,0.0,,
내동면독산리,1,0,55.0,0.0,,
승산리,1,0,83.1,0.0,,
신안동,2,0,72.6,0.0,10.94,1.0
명석면,2,0,56.6,0.0,4.83,0.0
봉곡동,5,0,28.2,0.0,,
장대동,2,0,59.1,0.0,,
인사동,2,0,86.3,0.0,,
정촌면화개리,1,0,70.6,0.0,,
진주시평거동,1,0,58.3,0.0,,
