행정구역,2025년_거주자_총인구수,20대_인구수,20대_비율(%),원룸촌여부
경상남도 진주시 (4817000000),335244,37429,11.16,1
경상남도 진주시 문산읍(4817025000),7444,526,7.07,0
경상남도 진주시 내동면(4817031000),3870,366,9.46,0
경상남도 진주시 정촌면(4817032000),8675,689,7.94,0
경상남도 진주시 금곡면(4817033000),1993,90,4.52,0
경상남도 진주시 진성면(4817035000),1709,62,3.63,0
경상남도 진주시 일반성면(4817036000),2320,130,5.6,0
경상남도 진주시 이반성면(4817037000),1434,43,3.0,0
경상남도 진주시 사봉면(4817038000),1340,36,2.69,0
경상남도 진주시 지수면(4817039000),1309,65,4.97,0
경상남도 진주시 대곡면(4817040000),2811,114,4.06,0
경상남도 진주시 금산면(4817041000),19415,1845,9.5,0
경상남도 진주시 집현면(4817042000),4253,300,7.05,0
경상남도 진주시 미천면(4817043000),1436,46,3.2,0
경상남도 진주시 명석면(4817044000),3668,177,4.83,0
경상남도 진주시 대평면(4817045000),934,45,4.82,0
경상남도 진주시 수곡면(4817046000),2039,88,4.32,0
경상남도 진주시 천전동(4817051500),26377,4065,15.41,1
경상남도 진주시 성북동(4817055500),9303,954,10.25,1
경상남도 진주시 중앙동(4817056500),9819,758,7.72,0
경상남도 진주시 상봉동(4817059500),12387,1282,10.35,1
경상남도 진주시 상대동(4817067300),17619,2108,11.96,1
경상남도 진주시 하대동(4817067800),21893,2628,12.0,1
경상남도 진주시 상평동(4817068000),10333,1092,10.57,1
경상남도 진주시 초장동(4817069500),27508,2728,9.92,0
경상남도 진주시 평거동(4817071000),24938,3122,12.52,1
경상남도 진주시 신안동(4817071500),10751,1176,10.94,1
경상남도 진주시 이현동(4817072000),9753,947,9.71,0
경상남도 진주시 판문동(4817073000),19882,1935,9.73,0
경상남도 진주시 가호동(4817074000),36315,7379,20.32,1
경상남도 진주시 충무공동(4817075000),33716,2633,7.81,0
